From,Entry,Reviewed,Entry Name,Protein names,Protein names1,Gene Names,Organism,Length,biological_process,cellular_component,molecular_function,Intramembrane,Subcellular location [CC],Transmembrane,Topological domain,Annotation
Q8DVS4,Q8DVS4,unreviewed,Q8DVS4_STRMU,Regulator of chromosome segregation-like C-terminal domain-containing protein,Regulator of chromosome segregation-like C-terminal domain-containing protein,SMU_393,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),171,,,,,,,,1
Q8DV32,Q8DV32,unreviewed,Q8DV32_STRMU,LHH domain-containing protein,LHH domain-containing protein,SMU_684,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),229,,,,,,,,1
P95785,P95785,reviewed,ATPF_STRMU,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),ATP synthase subunit b ,atpF SMU_1532,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),165,,"plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]","proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01398}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01398}.,"TRANSMEM 7..27; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_01398""",,3
Q8DVJ7,Q8DVJ7,unreviewed,Q8DVJ7_STRMU,peptidylprolyl isomerase (EC 5.2.1.8),peptidylprolyl isomerase ,SMU_488,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),471,protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; phosphatase activity [GO:0016791],,,,,2
Q8DTV9,Q8DTV9,unreviewed,Q8DTV9_STRMU,Dihydroorotase (DHOase) (EC 3.5.2.3),Dihydroorotase ,pyrC SMU_1214,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),422,'de novo' UMP biosynthetic process [GO:0044205]; purine nucleobase catabolic process [GO:0006145],cytoplasm [GO:0005737],allantoinase activity [GO:0004038]; dihydroorotase activity [GO:0004151]; zinc ion binding [GO:0008270],,,,,3
Q8CWY4,Q8CWY4,reviewed,NADE_STRMU,NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5),NH,nadE SMU_465,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),274,NAD biosynthetic process [GO:0009435],cytoplasm [GO:0005737],ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795],,,,,3
Q8DSF9,Q8DSF9,unreviewed,Q8DSF9_STRMU,Universal stress protein,Universal stress protein,SMU_1828,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),149,,cytoplasm [GO:0005737],,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|PIRNR:PIRNR006276}.,,,1
Q8DTL1,Q8DTL1,unreviewed,Q8DTL1_STRMU,Cell division protein FtsX,Cell division protein FtsX,ftsX SMU_1324,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),311,cell division [GO:0051301],plasma membrane [GO:0005886],,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,"TRANSMEM 21..45; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 186..206; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 239..261; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 281..303; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,2
I6L8Z5,I6L8Z5,unreviewed,I6L8Z5_STRMU,Transcriptional regulatory protein WalR,Transcriptional regulatory protein WalR,covR SMU_1517,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),235,negative regulation of DNA-templated transcription [GO:0045892],cytosol [GO:0005829]; protein-DNA complex [GO:0032993],DNA-binding transcription repressor activity [GO:0001217]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,2
I6L921,I6L921,unreviewed,I6L921_STRMU,Exodeoxyribonuclease III,Exodeoxyribonuclease III,exoA SMU_1649,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),275,base-excision repair [GO:0006284],,DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081],,,,,2
I6L922,I6L922,unreviewed,I6L922_STRMU,NADH oxidase/alkyl hydroperoxidase reductase peroxide-forming,NADH oxidase/alkyl hydroperoxidase reductase peroxide-forming,SMU_765,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),510,cell redox homeostasis [GO:0045454]; response to reactive oxygen species [GO:0000302],cytosol [GO:0005829],alkyl hydroperoxide reductase activity [GO:0008785]; flavin adenine dinucleotide binding [GO:0050660]; NAD binding [GO:0051287]; thioredoxin-disulfide reductase (NADPH) activity [GO:0004791],,,,,2
Q8DVP9,Q8DVP9,reviewed,IF2_STRMU,Translation initiation factor IF-2,Translation initiation factor IF-2,infB SMU_421,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),916,,cytoplasm [GO:0005737],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00100}.,,,2
Q8DWM1,Q8DWM1,unreviewed,Q8DWM1_STRMU,Aminotransferase (EC 2.6.1.-),Aminotransferase ,SMU_24,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),391,amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058],,pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483],,,,,2
Q8DS05,Q8DS05,unreviewed,Q8DS05_STRMU,"PTS system, glucose-specific IIABC component","PTS system, glucose-specific IIABC component",ptsG SMU_2047,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),729,phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310],plasma membrane [GO:0005886],kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 49..76; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 88..108; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 142..161; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 182..205; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 312..331; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 343..361; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 373..392; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 413..435; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,2
Q8CWX0,Q8CWX0,reviewed,GLGA_STRMU,Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase),Glycogen synthase ,glgA SMU_1536,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),476,glycogen biosynthetic process [GO:0005978],,"alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity [GO:0009011]; alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity [GO:0004373]",,,,,2
Q8DSU4,Q8DSU4,unreviewed,Q8DSU4_STRMU,"Branched chain amino acid ABC transporter, ATP-binding protein","Branched chain amino acid ABC transporter, ATP-binding protein",livF SMU_1665,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),236,L-amino acid transport [GO:0015807],,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; branched-chain amino acid transmembrane transporter activity [GO:0015658],,,,,1
Q8DWM3,Q8DWM3,unreviewed,Q8DWM3_STRMU,Secreted antigen GbpB/SagA putative peptidoglycan hydrolase,Secreted antigen GbpB/SagA putative peptidoglycan hydrolase,gbpB sagA SMU_22,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),431,single-species biofilm formation on inanimate substrate [GO:0044011],,hydrolase activity [GO:0016787],,,,,2
P50976,P50976,reviewed,PTLCB_STRMU,PTS system lactose-specific EIICB component (EIICB-Lac) (EII-Lac) [Includes: PTS system lactose-specific EIIC component (Lactose permease IIC component); PTS system lactose-specific EIIB component (EC 2.7.1.207) (Lactose-specific phosphotransferase enzyme IIB component)],PTS system lactose-specific EIICB component ,lacE SMU_1491,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),568,carbohydrate derivative transport [GO:1901264]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310],plasma membrane [GO:0005886],kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-lactose phosphotransferase system transporter activity [GO:0022869],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00428}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00428}.,"TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 65..85; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 103..123; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 128..148; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 183..203; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 222..242; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 246..266; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 283..303; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 339..359; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""; TRANSMEM 381..401; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00428""",,3
Q8CVC4,Q8CVC4,unreviewed,Q8CVC4_STRMU,Glucanase (EC 3.2.1.-),Glucanase ,SMU_1432c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),295,polysaccharide catabolic process [GO:0000272],,"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",,,,,1
Q8CVC7,Q8CVC7,unreviewed,Q8CVC7_STRMU,40K cell wall protein,40K cell wall protein,SMU_609,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),611,,,,,,,,1
Q8CVC6,Q8CVC6,reviewed,PRSA_STRMU,Foldase protein PrsA (EC 5.2.1.8),Foldase protein PrsA ,prsA SMU_648,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),333,protein folding [GO:0006457],plasma membrane [GO:0005886],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01145}; Lipid-anchor {ECO:0000255|HAMAP-Rule:MF_01145}.,,,3
Q8DSR0,Q8DSR0,unreviewed,Q8DSR0_STRMU,Pseudouridine synthase (EC 5.4.99.-),Pseudouridine synthase ,rluB SMU_1711,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),240,enzyme-directed rRNA pseudouridine synthesis [GO:0000455],,RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159],,,,,2
Q8DTQ2,Q8DTQ2,unreviewed,Q8DTQ2_STRMU,DNA gyrase subunit B (EC 5.6.2.2),DNA gyrase subunit B ,gyrB SMU_1277,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),650,DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261],chromosome [GO:0005694]; cytoplasm [GO:0005737],"ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]",,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01898}.,,,3
Q59925,Q59925,reviewed,FTHS_STRMU,Formate--tetrahydrofolate ligase (EC 6.3.4.3) (Formyltetrahydrofolate synthetase) (FHS) (FTHFS),Formate--tetrahydrofolate ligase ,fhs fthS SMU_1073,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),556,tetrahydrofolate interconversion [GO:0035999],,ATP binding [GO:0005524]; formate-tetrahydrofolate ligase activity [GO:0004329],,,,,2
Q8DTT3,Q8DTT3,unreviewed,Q8DTT3_STRMU,Nitroreductase,Nitroreductase,SMU_1240c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),200,,,oxidoreductase activity [GO:0016491],,,,,1
Q8DSN9,Q8DSN9,unreviewed,Q8DSN9_STRMU,Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A),Biotin carboxylase ,accC SMU_1736,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),456,fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295],,acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872],,,,,2
Q8DUT1,Q8DUT1,unreviewed,Q8DUT1_STRMU,"Amino acid transporter, amino acid-binding protein","Amino acid transporter, amino acid-binding protein",SMU_815,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),271,,membrane [GO:0016020],ligand-gated monoatomic ion channel activity [GO:0015276],,,,,1
Q8DW88,Q8DW88,reviewed,URDA_STRMU,Urocanate reductase (EC 1.3.99.33),Urocanate reductase ,urdA SMU_180,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),803,steroid metabolic process [GO:0008202],membrane [GO:0016020],FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491],,,,,3
Q8DUT8,Q8DUT8,unreviewed,Q8DUT8_STRMU,"Amino acid ABC transporter, ATP-binding protein","Amino acid ABC transporter, ATP-binding protein",SMU_805c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),246,,,ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004202}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004202}.,,,1
Q8DSW4,Q8DSW4,unreviewed,Q8DSW4_STRMU,Uncharacterized protein,Uncharacterized protein,SMU_1644c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),267,,membrane [GO:0016020],,,,"TRANSMEM 48..73; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,1
Q8CM14,Q8CM14,unreviewed,Q8CM14_STRMU,"ABC transporter ATP-binding protein (ABC transporter, ATP-binding protein)",ABC transporter ATP-binding protein ,SMU_1348c SMU_1366c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),233,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,1
P10539,P10539,reviewed,DHAS_STRMU,Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase),Aspartate-semialdehyde dehydrogenase ,asd SMU_989,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),358,'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088],,aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983],,,,,4
Q8DVD7,Q8DVD7,reviewed,SEPF_STRMU,Cell division protein SepF,Cell division protein SepF,sepF SMU_554,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),191,division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093],cytoplasm [GO:0005737],,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01197}. Note=Localizes to the division site, in a FtsZ-dependent manner. {ECO:0000255|HAMAP-Rule:MF_01197}.",,,2
Q8CWY0,Q8CWY0,reviewed,SYA_STRMU,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),Alanine--tRNA ligase ,alaS SMU_650,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),872,alanyl-tRNA aminoacylation [GO:0006419],cytosol [GO:0005829],alanine-tRNA ligase activity [GO:0004813]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00036}.,,,3
Q8DW47,Q8DW47,unreviewed,Q8DW47_STRMU,Alkaline-shock protein-like protein,Alkaline-shock protein-like protein,SMU_228,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),121,,,,,,,,1
Q8DSP1,Q8DSP1,unreviewed,Q8DSP1_STRMU,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15),Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha ,accA SMU_1734,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),256,fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295],acetyl-CoA carboxylase complex [GO:0009317],acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00823}.,,,3
Q8DU59,Q8DU59,unreviewed,Q8DU59_STRMU,NADPH-dependent FMN reductase-like domain-containing protein,NADPH-dependent FMN reductase-like domain-containing protein,SMU_1090,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),419,,cytosol [GO:0005829],FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491],,,,,1
Q8DW46,Q8DW46,unreviewed,Q8DW46_STRMU,DhaL domain-containing protein,DhaL domain-containing protein,SMU_229,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),555,glycerol metabolic process [GO:0006071],,glycerone kinase activity [GO:0004371],,,,,1
Q8DSE4,Q8DSE4,unreviewed,Q8DSE4_STRMU,Aminopeptidase P,Aminopeptidase P,pepP SMU_1850,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),354,,,aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872],,,,,1
Q8DUR8,Q8DUR8,unreviewed,Q8DUR8_STRMU,Glucosyltransferase,Glucosyltransferase,SMU_835,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),603,,membrane [GO:0016020],,,,"TRANSMEM 12..31; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 86..104; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 116..135; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 141..159; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 166..184; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 190..211; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 218..239; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 489..510; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 522..543; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 555..578; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,1
Q8DVN1,Q8DVN1,unreviewed,Q8DVN1_STRMU,PepSY domain-containing protein,PepSY domain-containing protein,SMU_448,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),126,,,,,,,,1
Q8DTG2,Q8DTG2,unreviewed,Q8DTG2_STRMU,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase),2-isopropylmalate synthase ,leuA SMU_1384,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),521,L-leucine biosynthetic process [GO:0009098],cytoplasm [GO:0005737],2-isopropylmalate synthase activity [GO:0003852]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; manganese ion binding [GO:0030145],,,,,3
Q8DT23,Q8DT23,reviewed,METK_STRMU,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),S-adenosylmethionine synthase ,metK SMU_1573,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),397,one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556],cytosol [GO:0005829],ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00086}.,,,3
Q8DTB4,Q8DTB4,unreviewed,Q8DTB4_STRMU,Tributyrin esterase,Tributyrin esterase,SMU_1443c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),263,,,,,,,,1
Q02420,Q02420,reviewed,PTMA_STRMU,Mannitol-specific phosphotransferase enzyme IIA component (EIIA) (EIII) (PTS system mannitol-specific EIIA component),Mannitol-specific phosphotransferase enzyme IIA component ,mtlF mtlA2 SMU_1183,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),145,phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310],cytoplasm [GO:0005737]; plasma membrane [GO:0005886],kinase activity [GO:0016301]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,,,3
Q1LZ67,Q1LZ67,unreviewed,Q1LZ67_STRMU,"Tagatose 1,6-diphosphate aldolase (EC 4.1.2.40) (D-tagatose-1,6-bisphosphate aldolase) (Tagatose-bisphosphate aldolase)","Tagatose 1,6-diphosphate aldolase ",tdpA lacD,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),329,6-sulfoquinovose(1-) catabolic process [GO:1902777]; D-tagatose 6-phosphate catabolic process [GO:2001059]; lactose catabolic process via tagatose-6-phosphate [GO:0019512],,6-deoxy-6-sulfofructose-1-phosphate aldolase activity [GO:0061595]; tagatose-6-phosphate kinase activity [GO:0009024]; tagatose-bisphosphate aldolase activity [GO:0009025],,,,,2
Q8DUW8,Q8DUW8,reviewed,SYK_STRMU,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),Lysine--tRNA ligase ,lysS SMU_773c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),496,lysyl-tRNA aminoacylation [GO:0006430],cytosol [GO:0005829],ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; magnesium ion binding [GO:0000287]; transferase activity [GO:0016740]; tRNA binding [GO:0000049],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00252}.,,,3
Q8DTW2,Q8DTW2,unreviewed,Q8DTW2_STRMU,Uncharacterized protein,Uncharacterized protein,SMU_1208c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),251,,,,,,,,1
Q8DU25,Q8DU25,unreviewed,Q8DU25_STRMU,Phosphate-specific transport system accessory protein PhoU,Phosphate-specific transport system accessory protein PhoU,phoU SMU_1133,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),217,intracellular phosphate ion homeostasis [GO:0030643]; negative regulation of phosphate metabolic process [GO:0045936]; phosphate ion transport [GO:0006817],cytoplasm [GO:0005737],,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|PIRNR:PIRNR003107}.,,,2
Q8DW21,Q8DW21,unreviewed,Q8DW21_STRMU,Nitroreductase domain-containing protein,Nitroreductase domain-containing protein,SMU_260,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),200,cellular response to oxidative stress [GO:0034599],,nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491],,,,,1
Q8DUR6,Q8DUR6,unreviewed,Q8DUR6_STRMU,Reductase,Reductase,SMU_837,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),280,,,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",,,,,1
Q8DTH6,Q8DTH6,unreviewed,Q8DTH6_STRMU,ABC3 transporter permease protein domain-containing protein,ABC3 transporter permease protein domain-containing protein,SMU_1365c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),781,,plasma membrane [GO:0005886],,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,"TRANSMEM 20..41; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 263..285; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 306..331; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 356..374; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 429..450; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 650..671; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 705..729; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 741..764; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,1
Q8DRT0,Q8DRT0,unreviewed,Q8DRT0_STRMU,CAAX amino protease family protein,CAAX amino protease family protein,SMU_2137c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),90,regulation of DNA-templated transcription [GO:0006355],,,,,,,1
Q8DSF0,Q8DSF0,reviewed,SECA_STRMU,Protein translocase subunit SecA (EC 7.4.2.8),Protein translocase subunit SecA ,secA SMU_1838,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),839,intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952],cell envelope Sec protein transport complex [GO:0031522]; cytosol [GO:0005829]; plasma membrane [GO:0005886],ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein-exporting ATPase activity [GO:0008564],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01382}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01382}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_01382}. Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01382}. Note=Distribution is 50-50. {ECO:0000255|HAMAP-Rule:MF_01382}.,,,3
